               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.028219,            0.023968,            0.023691,             0.88615,             0.40784,             0.52329,              0.4015,            0.022777,            0.015936,            0.028827,           0.0088417,           0.0088417,           0.0088417
                 119,             0.02783,            0.023531,             0.02348,             0.87941,             0.41467,             0.52559,             0.40833,            0.022639,            0.015808,            0.027926,           0.0088318,           0.0088318,           0.0088318
                 120,            0.028133,            0.023709,            0.023685,              0.7847,             0.46842,             0.51872,             0.40899,            0.022358,            0.015706,            0.028066,           0.0088219,           0.0088219,           0.0088219
                 121,            0.027785,            0.023427,            0.022693,             0.90752,             0.41425,             0.54012,             0.41756,            0.022279,            0.015773,            0.027639,            0.008812,            0.008812,            0.008812
                 122,             0.02755,            0.023599,            0.023195,             0.90604,             0.41536,             0.53807,              0.4214,            0.022627,            0.015832,            0.027456,           0.0088021,           0.0088021,           0.0088021
                 123,            0.027416,            0.023681,            0.022142,              0.8958,             0.42854,              0.5469,             0.42769,            0.022205,            0.015618,            0.026976,           0.0087922,           0.0087922,           0.0087922
                 124,            0.027722,            0.023526,            0.022403,             0.86058,             0.43242,             0.53076,             0.41347,            0.022236,            0.015581,            0.027578,           0.0087823,           0.0087823,           0.0087823
                 125,            0.028108,            0.023553,            0.021717,             0.89522,             0.42684,             0.54715,             0.42992,            0.022183,            0.015415,            0.027264,           0.0087724,           0.0087724,           0.0087724
                 126,            0.028006,            0.023317,            0.021541,              0.9058,             0.41759,             0.54367,             0.42352,            0.022013,            0.015534,            0.027374,           0.0087625,           0.0087625,           0.0087625
                 127,            0.027935,            0.023645,            0.022013,             0.86521,             0.44665,             0.54809,              0.4322,            0.021757,             0.01554,            0.027465,           0.0087526,           0.0087526,           0.0087526
                 128,            0.028118,            0.023864,            0.021895,             0.87474,              0.4345,             0.55227,             0.43343,            0.022012,            0.015493,            0.027117,           0.0087427,           0.0087427,           0.0087427
                 129,            0.027724,            0.023451,            0.021416,             0.88418,             0.43233,             0.53884,             0.42735,             0.02177,            0.015554,             0.02677,           0.0087328,           0.0087328,           0.0087328
                 130,            0.027757,            0.023202,            0.021408,             0.81458,             0.46947,             0.54431,             0.42851,             0.02186,            0.015598,             0.02717,           0.0087229,           0.0087229,           0.0087229
                 131,            0.027305,            0.023036,            0.021544,             0.89143,             0.43915,             0.54462,             0.43136,            0.021601,            0.015496,            0.026936,            0.008713,            0.008713,            0.008713
                 132,            0.027293,            0.023289,             0.02107,             0.89214,             0.43448,             0.54446,             0.42538,            0.021784,            0.015788,            0.026664,           0.0087031,           0.0087031,           0.0087031
                 133,            0.027806,            0.023238,            0.021143,             0.88938,             0.45142,             0.55328,             0.43608,            0.021599,            0.015636,             0.02708,           0.0086932,           0.0086932,           0.0086932
                 134,            0.027235,            0.023673,            0.021276,              0.9167,             0.43351,             0.53898,             0.41799,            0.022057,            0.015619,            0.026262,           0.0086833,           0.0086833,           0.0086833
                 135,             0.02688,            0.023367,            0.020361,             0.87904,             0.44907,             0.55657,             0.43647,            0.021701,            0.015465,            0.026412,           0.0086734,           0.0086734,           0.0086734
                 136,             0.02717,            0.022945,            0.020309,             0.73927,             0.51537,             0.58134,             0.45365,             0.02185,            0.015713,            0.026483,           0.0086635,           0.0086635,           0.0086635
