               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.031699,            0.029739,            0.034841,             0.75623,             0.33516,             0.40329,             0.30624,             0.02465,            0.017831,            0.034514,           0.0090001,           0.0090001,           0.0090001
                 103,            0.031139,            0.029631,             0.03527,             0.78116,             0.33656,             0.42271,             0.32068,            0.024612,            0.017836,             0.03495,           0.0089902,           0.0089902,           0.0089902
                 104,            0.031052,            0.028869,            0.034451,             0.75825,             0.35015,             0.42205,             0.31224,            0.025206,             0.01795,            0.034362,           0.0089803,           0.0089803,           0.0089803
                 105,            0.031521,            0.029462,            0.033497,             0.81233,             0.35228,             0.43514,             0.33547,            0.024461,            0.017572,            0.033845,           0.0089704,           0.0089704,           0.0089704
                 106,             0.03065,            0.028941,            0.033677,             0.82188,             0.33577,             0.42904,             0.32276,            0.025004,            0.017969,            0.034333,           0.0089605,           0.0089605,           0.0089605
                 107,            0.030831,            0.029412,            0.033796,             0.80893,             0.33629,             0.42788,             0.32199,            0.024583,            0.017987,            0.033878,           0.0089506,           0.0089506,           0.0089506
                 108,            0.031343,            0.029449,            0.033078,             0.81785,             0.33479,             0.44237,             0.33482,            0.024784,            0.018004,            0.033971,           0.0089407,           0.0089407,           0.0089407
                 109,            0.030787,            0.029144,             0.03323,             0.83453,             0.34288,              0.4317,             0.32843,            0.024663,            0.018011,            0.034136,           0.0089308,           0.0089308,           0.0089308
                 110,            0.030766,            0.029296,            0.031835,             0.79047,             0.35488,              0.4403,             0.33373,            0.024321,            0.017833,            0.033059,           0.0089209,           0.0089209,           0.0089209
                 111,            0.031137,            0.028867,            0.032503,             0.83605,             0.34355,              0.4407,             0.33841,            0.024411,            0.017865,            0.033108,            0.008911,            0.008911,            0.008911
                 112,            0.031048,            0.028392,            0.031624,             0.83784,             0.36436,             0.45821,             0.35274,            0.024209,            0.017407,            0.032625,           0.0089011,           0.0089011,           0.0089011
                 113,            0.031278,            0.029183,            0.031494,             0.84479,             0.34751,             0.45835,             0.35267,            0.023757,            0.017217,            0.032355,           0.0088912,           0.0088912,           0.0088912
                 114,            0.031061,            0.028538,            0.031276,              0.8432,               0.343,             0.44847,             0.34394,            0.023844,            0.017633,            0.032863,           0.0088813,           0.0088813,           0.0088813
                 115,            0.030431,            0.028663,            0.031085,             0.84714,             0.35452,             0.46435,             0.35896,            0.023613,            0.017552,            0.031579,           0.0088714,           0.0088714,           0.0088714
                 116,            0.030808,            0.028592,            0.030893,             0.81693,             0.36565,              0.4592,             0.35808,            0.024148,            0.017778,            0.032045,           0.0088615,           0.0088615,           0.0088615
